Player,Team,Pos,GP,G,A,P,+/-,PIM,P/GP,EVG,PPG,PPP,OTG,GWG,S,S%,TOI/GP,FOW%
Patrick Kane,CHI,R,82,46,60,106,17,30,1,29,29,17,37,1,9,287,16,20:25,21,6
Jamie Benn,DAL,L,82,41,48,89,7,64,1,09,22,17,30,1,5,247,16,6,20:01,47,3
Sidney Crosby,PIT,C,80,36,49,85,19,42,1,06,26,10,24,2,9,248,14,5,20:28,51,7
Joe Thornton,SJS,C,82,19,63,82,25,54,1,11,8,29,0,6,121,15,7,18:22,53
Erik Karlsson,OTT,D,82,16,66,82,-2,50,1,15,1,26,2,3,248,6,5,28:58,0
Joe Pavelski,SJS,C,82,38,40,78,25,30,0,95,26,12,28,1,11,224,17,19:49,55
Johnny Gaudreau,CGY,L,79,30,48,78,4,20,0,99,24,6,21,3,6,217,13,8,19:56,40
Blake Wheeler,WPG,R,82,26,52,78,8,49,0,95,21,3,17,2,5,256,10,2,19:47,35,7
Artemi Panarin,CHI,L,80,30,47,77,8,32,0,96,22,8,24,1,7,187,16,18:31,--
Evgeny Kuznetsov,WSH,C,82,20,57,77,27,32,0,94,15,5,18,2,4,193,10,4,17:25,47,8
Brent Burns,SJS,D,82,27,48,75,-5,53,0,91,19,7,30,1,4,353,7,7,25:52,100
Vladimir Tarasenko,STL,R,80,40,34,74,7,37,0,93,28,12,24,2,7,292,13,7,18:38,0
Anze Kopitar,LAK,C,81,25,49,74,34,16,0,91,19,5,18,4,8,177,14,1,20:52,53,5
Tyler Seguin,DAL,C,72,33,40,73,2,16,1,01,26,7,24,1,6,278,11,9,19:27,55,6
Alex Ovechkin,WSH,L,79,50,21,71,21,53,0,9,31,19,24,2,8,398,12,6,20:19,--
John Tavares,NYI,C,78,33,37,70,6,38,0,9,26,7,19,0,5,250,13,2,20:00,54,1
Nicklas Backstrom,WSH,C,75,20,50,70,17,36,0,93,17,3,30,0,4,129,15,5,19:11,48,6
Patrice Bergeron,BOS,C,80,32,36,68,12,49,0,85,19,12,25,0,6,282,11,4,19:50,57,1
Claude Giroux,PHI,C,78,22,45,67,-8,53,0,86,15,6,27,2,5,241,9,1,20:33,57,5
Kris Letang,PIT,D,71,16,51,67,9,66,0,94,11,5,27,1,2,218,7,3,26:57,--
Nikita Kucherov,TBL,R,77,30,36,66,9,30,0,86,21,9,25,1,4,209,14,4,18:13,0
Jaromir Jagr,FLA,R,79,27,39,66,23,48,0,84,22,5,11,0,4,143,18,9,17:05,0
Taylor Hall,EDM,L,82,26,39,65,-4,54,0,79,22,4,12,1,6,286,9,1,19:12,35,9
Steven Stamkos,TBL,C,77,36,28,64,3,38,0,83,21,14,23,0,8,216,16,7,19:45,50
Filip Forsberg,NSH,L,82,33,31,64,1,47,0,78,24,8,23,0,3,247,13,4,19:03,22,2
Max Pacioretty,MTL,L,82,30,34,64,-10,34,0,78,21,8,17,0,6,303,9,9,18:32,46,2
Kyle Okposo,NYI,R,79,22,42,64,-4,51,0,81,15,7,23,2,4,202,10,9,18:12,36,5
Jason Spezza,DAL,C,75,33,30,63,4,22,0,84,24,9,24,0,7,202,16,3,16:31,54,8
Loui Eriksson,BOS,L,82,30,33,63,13,12,0,77,18,10,17,1,5,184,16,3,19:29,57,1
Sean Monahan,CGY,C,81,27,36,63,-6,18,0,78,20,7,20,1,5,197,13,7,19:10,51
David Krejci,BOS,C,72,17,46,63,4,32,0,88,13,4,18,0,3,143,11,9,20:18,50,1
Ryan Getzlaf,ANA,C,77,13,50,63,14,55,0,82,7,6,22,1,5,178,7,3,19:30,49,4
Corey Perry,ANA,R,82,34,28,62,2,68,0,76,22,12,24,0,6,215,15,8,17:42,20
Jeff Carter,LAK,C,77,24,38,62,18,20,0,81,19,4,12,3,6,242,9,9,18:23,48,7
Brad Marchand,BOS,L,77,37,24,61,21,90,0,79,27,6,8,2,6,250,14,8,18:36,37,5
Mark Scheifele,WPG,C,71,29,32,61,16,48,0,86,22,7,11,1,3,194,15,18:33,44,2
Daniel Sedin,VAN,L,82,28,33,61,7,36,0,74,20,8,19,1,6,258,10,9,18:20,26,3
Mats Zuccarello,NYR,R,81,26,35,61,2,34,0,75,19,7,18,1,4,166,15,7,18:29,45,5
Mark Stone,OTT,R,75,23,38,61,-4,38,0,81,17,5,15,1,1,151,15,2,20:07,42,1
Roman Josi,NSH,D,81,14,47,61,-3,43,0,75,7,6,24,1,3,198,7,1,25:29,--
Wayne Simmonds,PHI,R,81,32,28,60,-7,147,0,74,19,13,21,0,5,229,14,17:14,71,4
Ryan O'Reilly,BUF,C,71,21,39,60,-16,8,0,85,12,8,22,1,2,157,13,4,21:44,56,5
Jussi Jokinen,FLA,L,81,18,42,60,25,42,0,74,12,5,12,0,1,153,11,8,18:17,51,5
Ryan Johansen,CBJ,NSH,C,80,14,46,60,6,61,0,75,10,4,22,0,2,185,7,6,17:34,52,3
Matt Duchene,COL,C,76,30,29,59,-8,24,0,78,22,8,15,0,6,200,15,18:35,57,9
Mike Hoffman,OTT,L,78,29,30,59,1,18,0,76,20,9,13,1,3,242,12,17:33,44,4
Aleksander Barkov,FLA,C,66,28,31,59,18,8,0,89,18,9,16,0,8,171,16,4,19:26,49,2
Phil Kessel,PIT,R,82,26,33,59,9,18,0,72,22,4,17,1,5,274,9,5,18:23,40
Brayden Schenn,PHI,C,80,26,33,59,3,33,0,74,15,11,22,0,5,178,14,6,16:54,44,8
Jonathan Huberdeau,FLA,L,76,20,39,59,17,43,0,78,15,4,13,0,2,174,11,5,18:09,38,9
